SITE,Long,Lat
WP51,-110.638517,43.944363
WP52,-110.64115,43.95769
WP53,-110.676817,43.984955
WP54,-110.703967,44.014863
WP55,-110.673267,43.937267
WP56,-110.695193,43.897593
WP57,-110.70825,43.869652
WP59,-110.736821,43.862686
WP60,-110.722683,43.847105
WP61,-110.659267,43.823378
WP62,-110.628283,43.825443
WP63,-110.609033,43.854247
WP64,-110.635983,43.85504
WP65,-110.653383,43.86011
WP66,-110.6483,43.897332
JL17,-110.6484,43.92948
JL18,-110.66384,43.93257
JL19,-110.6628,43.94705
JL20,-110.66039,43.96452
JL21,-110.6531,43.96867
JL25,-110.685066,43.998518
JL26,-110.70771,44.00592
JL27,-110.703532,43.993948
JL28,-110.68743,43.97365
JL29,-110.68379,43.95791
JL30,-110.684467,43.94746
JL31,-110.69443,43.93114
JL32,-110.68837,43.91476
JL33,-110.70151,43.90387
JL34,-110.70205,43.88578
JL35,-110.72122,43.87807
JL36,-110.70602,43.87206
JL37,-110.7142,43.85845
JL38,-110.72492,43.86101
JL39,-110.7226,43.85548
JL40,-110.70774,43.85417
JL41,-110.68258,43.84845
JL42,-110.66969,43.83776
JL43,-110.65824,43.82639
JL44,-110.64154,43.83495
JL45,-110.627,43.83673
JL46,-110.61784,43.84672
JL47,-110.61125,43.86072
JL48,-110.62598,43.85948
JL49,-110.63366,43.84824
JL50,-110.64436,43.84582
JL51,-110.65345,43.84955
JL52,-110.66724,43.84769
JL53,-110.64709,43.8725
JL54,-110.64213,43.87623
JL55,-110.64017,43.88222
JL56,-110.67187,43.88054
JL57,-110.65485,43.88579
JL58,-110.67227,43.89721
JL59,-110.66402,43.91717
JL60,-110.64699,43.9236
JL61,-110.66859,43.97232
JL62,-110.6875,43.99583
