seq_position,SITE,Event,d18O,d2H,Setting.Type,dxs,ON,month,year
6,JL1,7,-18.251393819049,-135.04736701477,Lake,10.963783537621993,NA,7,2023
7,JL2,7,-18.4536531716519,-136.09176732469,Lake,11.537458048525195,NA,7,2023
8,JL3,7,-18.4193969876445,-135.916249803107,Lake,11.438926098048995,NA,7,2023
9,JL4,7,-18.4201356013439,-135.810076115364,Lake,11.551008695387196,NA,7,2023
10,JL5,7,-18.3637466781392,-135.616850749263,Lake,11.293122675850611,NA,7,2023
11,JL6,7,-18.4292606148209,-135.835578573503,Lake,11.598506345064209,NA,7,2023
12,JL6,7,-18.3642631999353,-135.585235793462,Lake,11.328869806020407,NA,7,2023
13,JL6,7,-18.3473934935262,-135.528814929791,Lake,11.250333018418615,NA,7,2023
14,JL7,7,-18.3528000225536,-135.473828997622,Lake,11.34857118280678,NA,7,2023
15,JL8,7,-18.3367950112016,-135.517962532856,Lake,11.176397556756797,NA,7,2023
16,JL9,7,-18.2860277557683,-135.479941273349,Lake,10.808280772797389,NA,7,2023
17,JL10,7,-18.396792325022,-135.832368368732,Lake,11.34197023144398,NA,7,2023
18,JL11,7,-18.4165945276188,-135.758443133342,Lake,11.574313087608374,NA,7,2023
19,JL12,7,-18.2769970706379,-135.382091963987,Lake,10.83388460111621,NA,7,2023
20,JL13,7,-18.33776616432,-135.550147663008,Lake,11.151981651552006,NA,7,2023
25,JL14,7,-18.3270451245274,-135.512217438474,Lake,11.104143557745203,NA,7,2023
26,JL15,7,-18.3399056206996,-135.510332715764,Lake,11.208912249832792,NA,7,2023
27,JL16,7,-18.2611615627721,-135.105020775032,Lake,10.984271727144801,NA,7,2023
28,1,7,-18.3151154642766,-135.37121437859,Lake.outlet,11.149709335622816,NA,7,2023
29,5,7,-19.2354417495061,-139.993961424148,Stream,13.8895725719008,NA,7,2023
30,7,7,-17.9605521953388,-135.067080844967,Stream,8.617336717743399,NA,7,2023
31,10,7,-19.2464080206277,-139.774323797986,Stream,14.196940367035609,NA,7,2023
32,12,7,-19.4702782049331,-142.251089081317,Stream,13.511136558147797,NA,7,2023
33,14,7,-19.1590967848513,-141.365501263661,Stream,11.9072730151494,NA,7,2023
34,14,7,-19.254201764575,-141.5502921879,Stream,12.483321928700008,NA,7,2023
35,14,7,-19.2221511577065,-141.50109684665,Stream,12.27611241500199,NA,7,2023
36,15,7,-18.2580202483809,-135.043237321006,River,11.020924666041225,NA,7,2023
